,Shape,Orientation,Window to Wall Ratio,Height,Surface Area,Material,thickness,set point,Heating System,Cooling System,AC Type,Heater type,PVs,Ceiling fans,Others
4919,L-Shape,South,0.58,15,142.64,Concrete,0.31,19,1,1,Package AC,Heat Pump,1,0,"Microwave, Washer"
4920,L-Shape,South,0.34,15,138.75,Steel,0.25,21,0,0,Package AC,Heat Pump,0,2,"TV, Fridge"
4921,L-Shape,East,0.48,18,265.0,Wood,0.38,19,0,0,VRF,Gas Heating,1,1,"TV, Fridge"
4922,Rectangular,South,0.52,15,314.19,Steel,0.26,21,1,1,Package AC,Heat Pump,1,0,"Microwave, Washer"
4923,Rectangular,West,0.31,15,106.84,Wood,0.2,22,0,0,VRF,Gas Heating,0,1,"Oven, Dishwasher"
4924,Rectangular,West,0.53,10,340.77,Steel,0.38,20,1,0,Package AC,Heat Pump,1,0,"Microwave, Washer"
4925,L-Shape,East,0.44,12,86.88,Steel,0.4,19,1,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
4926,Rectangular,North,0.42,12,323.04,Concrete,0.34,19,1,0,Package AC,Heat Pump,1,2,"TV, Fridge"
4927,U-Shape,North,0.45,15,207.65,Wood,0.36,19,0,1,Split AC,Gas Heating,1,2,"Oven, Dishwasher"
4928,Rectangular,West,0.41,15,254.42,Concrete,0.3,19,1,0,Package AC,Gas Heating,1,0,"Oven, Dishwasher"
4929,L-Shape,South,0.42,15,271.31,Steel,0.35,21,1,1,Package AC,Heat Pump,0,2,"Microwave, Washer"
4930,U-Shape,East,0.43,15,77.68,Steel,0.22,20,0,1,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
4931,U-Shape,North,0.43,12,178.01,Steel,0.25,21,1,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
4932,Rectangular,East,0.42,12,346.14,Steel,0.28,20,1,1,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
4933,Rectangular,South,0.52,15,86.99,Steel,0.2,19,0,1,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
4934,U-Shape,South,0.54,10,134.52,Steel,0.23,20,0,1,Split AC,Heat Pump,1,2,"TV, Fridge"
4935,Rectangular,South,0.6,18,180.73,Concrete,0.3,20,0,1,Split AC,Gas Heating,1,1,"TV, Fridge"
4936,U-Shape,South,0.52,15,197.23,Concrete,0.25,22,0,0,Split AC,Heat Pump,1,1,"TV, Fridge"
4937,U-Shape,East,0.32,12,213.06,Wood,0.34,22,0,0,Package AC,Gas Heating,1,2,"Microwave, Washer"
4938,Rectangular,East,0.51,18,228.09,Steel,0.38,19,0,1,Split AC,Heat Pump,1,0,"TV, Fridge"
4939,Rectangular,South,0.32,12,159.76,Steel,0.3,22,1,0,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
4940,Rectangular,North,0.3,18,105.03,Wood,0.24,22,1,0,Package AC,Gas Heating,0,2,"Microwave, Washer"
4941,U-Shape,North,0.49,15,231.86,Wood,0.26,20,0,0,VRF,Gas Heating,1,1,"Microwave, Washer"
4942,L-Shape,East,0.56,10,87.0,Steel,0.34,22,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
4943,Rectangular,South,0.5,10,189.75,Wood,0.37,19,0,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
4944,L-Shape,East,0.48,18,268.85,Concrete,0.3,20,1,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
4945,L-Shape,North,0.4,15,120.61,Wood,0.27,21,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
4946,Rectangular,North,0.58,18,324.49,Concrete,0.29,20,0,0,Package AC,Heat Pump,1,1,"TV, Fridge"
4947,Rectangular,West,0.31,15,271.34,Wood,0.34,22,1,0,Package AC,Heat Pump,1,2,"Microwave, Washer"
4948,Rectangular,South,0.44,10,164.0,Concrete,0.26,19,0,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
4949,Rectangular,South,0.46,12,191.01,Wood,0.22,21,1,1,Package AC,Gas Heating,1,0,"TV, Fridge"
4950,Rectangular,South,0.53,15,82.58,Wood,0.23,22,0,1,Split AC,Gas Heating,0,1,"Microwave, Washer"
4951,Rectangular,East,0.47,12,98.46,Concrete,0.27,22,1,1,Split AC,Gas Heating,1,2,"Oven, Dishwasher"
4952,L-Shape,North,0.49,12,214.78,Wood,0.35,22,0,1,VRF,Gas Heating,1,0,"Microwave, Washer"
4953,L-Shape,South,0.53,10,168.76,Steel,0.29,22,1,1,VRF,Heat Pump,1,1,"Oven, Dishwasher"
4954,L-Shape,North,0.32,12,189.39,Concrete,0.24,19,1,0,Split AC,Gas Heating,1,1,"Microwave, Washer"
4955,Rectangular,South,0.55,15,299.45,Wood,0.39,22,1,1,VRF,Heat Pump,1,2,"TV, Fridge"
4956,U-Shape,West,0.35,18,98.9,Steel,0.34,21,0,0,Split AC,Heat Pump,1,1,"Microwave, Washer"
4957,U-Shape,East,0.43,10,266.92,Steel,0.37,21,0,1,Package AC,Gas Heating,0,0,"Microwave, Washer"
4958,Rectangular,East,0.53,10,198.51,Concrete,0.31,22,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
4959,Rectangular,North,0.3,12,157.27,Wood,0.26,22,0,0,Split AC,Heat Pump,1,1,"Microwave, Washer"
4960,Rectangular,South,0.41,10,346.62,Concrete,0.35,19,0,1,Package AC,Heat Pump,1,1,"Microwave, Washer"
4961,L-Shape,South,0.6,12,312.48,Steel,0.32,22,0,0,Split AC,Heat Pump,0,1,"TV, Fridge"
4962,Rectangular,West,0.58,18,315.02,Steel,0.32,21,0,1,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
4963,Rectangular,East,0.47,15,284.0,Concrete,0.23,20,1,1,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
4964,U-Shape,South,0.3,18,188.84,Concrete,0.35,22,0,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
4965,Rectangular,West,0.3,15,123.02,Steel,0.36,19,1,1,Split AC,Gas Heating,1,2,"TV, Fridge"
4966,L-Shape,South,0.49,18,324.73,Wood,0.33,21,1,1,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
4967,L-Shape,South,0.53,18,348.6,Steel,0.22,19,0,0,VRF,Heat Pump,1,1,"Oven, Dishwasher"
4968,Rectangular,West,0.4,12,105.68,Wood,0.33,22,0,0,Package AC,Gas Heating,0,2,"Oven, Dishwasher"
4969,Rectangular,South,0.6,10,291.05,Steel,0.33,20,1,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
4970,U-Shape,West,0.52,15,110.44,Steel,0.26,19,0,0,Package AC,Heat Pump,1,1,"TV, Fridge"
4971,U-Shape,North,0.58,12,247.13,Steel,0.34,20,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
4972,U-Shape,South,0.35,15,99.51,Concrete,0.25,22,1,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
4973,Rectangular,East,0.35,15,341.68,Steel,0.23,21,1,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
4974,L-Shape,East,0.31,12,72.13,Steel,0.35,22,1,1,VRF,Gas Heating,1,0,"Oven, Dishwasher"
4975,L-Shape,South,0.49,15,155.25,Concrete,0.39,22,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
4976,Rectangular,East,0.43,15,79.4,Steel,0.26,19,0,1,Package AC,Gas Heating,0,2,"Oven, Dishwasher"
4977,U-Shape,South,0.4,10,76.06,Steel,0.35,21,0,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
4978,U-Shape,West,0.47,18,308.56,Concrete,0.36,19,0,0,VRF,Heat Pump,1,1,"Oven, Dishwasher"
4979,U-Shape,South,0.51,12,272.88,Steel,0.36,21,0,1,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
4980,U-Shape,North,0.6,15,337.78,Steel,0.34,22,1,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
4981,Rectangular,East,0.51,15,247.98,Steel,0.24,21,1,1,Split AC,Heat Pump,0,2,"Microwave, Washer"
4982,Rectangular,South,0.38,15,164.83,Steel,0.33,22,1,1,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
4983,Rectangular,East,0.48,10,202.73,Steel,0.21,19,1,1,Package AC,Heat Pump,0,2,"Microwave, Washer"
4984,U-Shape,North,0.45,15,268.45,Wood,0.38,22,1,0,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
4985,U-Shape,West,0.46,18,50.71,Wood,0.33,21,0,0,VRF,Heat Pump,0,0,"TV, Fridge"
4986,L-Shape,East,0.51,12,228.34,Steel,0.25,21,0,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
4987,Rectangular,South,0.46,18,235.21,Wood,0.36,22,1,0,Split AC,Gas Heating,1,0,"TV, Fridge"
4988,U-Shape,East,0.4,12,268.52,Steel,0.22,19,1,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
4989,L-Shape,North,0.49,10,129.36,Steel,0.3,21,0,0,Split AC,Heat Pump,0,0,"Microwave, Washer"
4990,L-Shape,West,0.46,15,165.93,Steel,0.28,19,0,0,VRF,Gas Heating,1,1,"Microwave, Washer"
4991,U-Shape,North,0.53,18,50.71,Wood,0.22,21,0,1,Split AC,Heat Pump,0,2,"TV, Fridge"
4992,L-Shape,North,0.52,18,271.28,Concrete,0.27,22,0,0,VRF,Heat Pump,1,1,"TV, Fridge"
4993,Rectangular,East,0.51,10,348.6,Steel,0.39,20,1,1,Package AC,Gas Heating,0,2,"Microwave, Washer"
4994,U-Shape,East,0.59,12,201.79,Steel,0.4,21,0,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
4995,U-Shape,North,0.45,10,181.99,Steel,0.22,19,0,0,VRF,Heat Pump,1,2,"Oven, Dishwasher"
4996,Rectangular,East,0.58,12,298.76,Steel,0.33,22,0,1,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
4997,Rectangular,East,0.53,18,213.05,Wood,0.34,22,1,1,Split AC,Gas Heating,0,0,"Microwave, Washer"
4998,Rectangular,North,0.6,12,329.27,Steel,0.38,22,1,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
4999,U-Shape,South,0.51,15,230.07,Steel,0.34,19,0,1,Package AC,Heat Pump,0,0,"Oven, Dishwasher"
5000,Rectangular,South,0.52,10,153.65,Concrete,0.27,22,0,1,Split AC,Heat Pump,1,2,"TV, Fridge"
5001,L-Shape,East,0.49,10,64.72,Steel,0.35,20,1,0,Split AC,Gas Heating,1,0,"Oven, Dishwasher"
5002,U-Shape,West,0.52,12,50.71,Wood,0.36,22,0,1,Split AC,Heat Pump,0,2,"TV, Fridge"
5003,U-Shape,South,0.41,18,348.6,Concrete,0.21,19,1,0,VRF,Heat Pump,1,2,"Microwave, Washer"
5004,U-Shape,South,0.51,15,238.9,Concrete,0.35,20,1,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
5005,U-Shape,South,0.5,15,235.15,Wood,0.39,21,0,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
5006,Rectangular,West,0.32,18,67.77,Concrete,0.21,20,0,0,VRF,Gas Heating,1,1,"Microwave, Washer"
5007,Rectangular,South,0.49,15,268.4,Steel,0.37,19,0,1,VRF,Heat Pump,1,1,"Microwave, Washer"
5008,Rectangular,South,0.57,15,224.43,Concrete,0.39,20,1,0,Package AC,Heat Pump,1,2,"Microwave, Washer"
5009,Rectangular,East,0.6,10,203.76,Steel,0.2,20,1,1,Package AC,Gas Heating,0,0,"Oven, Dishwasher"
5010,L-Shape,North,0.53,10,59.15,Steel,0.34,21,0,1,Package AC,Gas Heating,1,0,"Microwave, Washer"
5011,Rectangular,East,0.4,10,283.54,Concrete,0.34,20,0,1,Split AC,Heat Pump,0,1,"TV, Fridge"
5012,Rectangular,North,0.4,15,161.95,Wood,0.23,22,0,1,Package AC,Gas Heating,1,2,"TV, Fridge"
5013,Rectangular,South,0.55,15,272.12,Steel,0.21,21,1,1,VRF,Heat Pump,1,1,"Oven, Dishwasher"
5014,Rectangular,West,0.39,15,122.01,Wood,0.24,22,1,1,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
5015,Rectangular,South,0.37,15,229.73,Wood,0.2,20,0,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
5016,Rectangular,East,0.47,10,63.25,Steel,0.32,20,1,1,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
5017,Rectangular,South,0.3,10,241.59,Steel,0.4,22,0,0,Split AC,Heat Pump,0,0,"TV, Fridge"
5018,Rectangular,East,0.5,10,183.37,Steel,0.37,19,0,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
5019,U-Shape,East,0.6,10,59.27,Concrete,0.39,19,0,1,Split AC,Gas Heating,1,1,"TV, Fridge"
5020,Rectangular,East,0.54,15,99.32,Steel,0.34,22,1,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
5021,Rectangular,East,0.41,18,301.22,Concrete,0.4,20,1,0,Package AC,Gas Heating,0,2,"Microwave, Washer"
5022,U-Shape,East,0.53,15,199.75,Steel,0.23,20,0,1,VRF,Gas Heating,1,2,"TV, Fridge"
5023,U-Shape,East,0.53,15,56.57,Steel,0.33,21,0,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
5024,Rectangular,South,0.49,10,103.83,Steel,0.2,22,0,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
5025,Rectangular,South,0.55,12,308.47,Wood,0.26,22,1,1,VRF,Gas Heating,0,2,"Oven, Dishwasher"
5026,Rectangular,East,0.34,12,253.39,Concrete,0.39,22,1,1,Package AC,Heat Pump,1,2,"TV, Fridge"
5027,Rectangular,East,0.58,15,321.62,Wood,0.25,22,1,1,Split AC,Heat Pump,1,0,"TV, Fridge"
5028,L-Shape,West,0.38,18,62.91,Steel,0.39,22,0,0,VRF,Gas Heating,0,1,"Oven, Dishwasher"
5029,Rectangular,West,0.53,12,107.56,Steel,0.25,19,0,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
5030,Rectangular,East,0.51,18,108.48,Wood,0.26,19,1,0,Package AC,Heat Pump,1,0,"Microwave, Washer"
5031,Rectangular,South,0.39,18,50.71,Concrete,0.23,22,0,1,VRF,Heat Pump,0,2,"Microwave, Washer"
5032,Rectangular,South,0.45,10,146.05,Steel,0.23,20,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
5033,Rectangular,North,0.51,18,62.06,Steel,0.34,20,0,1,Package AC,Gas Heating,1,0,"Microwave, Washer"
5034,Rectangular,East,0.48,10,174.99,Steel,0.31,20,1,1,Split AC,Heat Pump,0,0,"TV, Fridge"
5035,Rectangular,West,0.38,15,50.71,Concrete,0.29,20,1,0,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
5036,Rectangular,West,0.41,18,151.07,Steel,0.22,22,1,1,Package AC,Gas Heating,0,1,"Microwave, Washer"
5037,L-Shape,South,0.33,18,71.06,Steel,0.28,22,1,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
5038,U-Shape,West,0.6,12,271.02,Steel,0.25,22,0,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
5039,U-Shape,North,0.4,10,181.52,Steel,0.31,19,0,0,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
5040,U-Shape,South,0.49,15,220.03,Concrete,0.37,19,0,0,VRF,Heat Pump,1,2,"TV, Fridge"
5041,L-Shape,West,0.5,10,214.23,Steel,0.35,22,0,0,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
5042,L-Shape,South,0.35,15,122.6,Concrete,0.33,19,1,0,Package AC,Heat Pump,1,2,"TV, Fridge"
5043,Rectangular,South,0.43,15,289.62,Wood,0.38,19,0,1,Package AC,Heat Pump,1,1,"TV, Fridge"
5044,Rectangular,East,0.31,15,154.03,Steel,0.23,22,1,1,Package AC,Heat Pump,1,0,"TV, Fridge"
5045,Rectangular,East,0.36,12,50.71,Wood,0.28,22,1,1,Package AC,Gas Heating,0,1,"Microwave, Washer"
5046,Rectangular,North,0.55,10,314.36,Steel,0.28,22,0,1,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
5047,U-Shape,East,0.53,15,259.81,Steel,0.31,19,0,1,VRF,Heat Pump,0,2,"Microwave, Washer"
5048,L-Shape,South,0.46,10,50.71,Concrete,0.23,22,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
5049,Rectangular,South,0.48,12,94.49,Steel,0.35,22,1,0,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
5050,U-Shape,North,0.53,15,285.72,Steel,0.37,22,0,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
5051,U-Shape,South,0.52,15,161.93,Steel,0.37,22,0,1,VRF,Heat Pump,1,1,"Oven, Dishwasher"
5052,Rectangular,East,0.32,15,199.68,Concrete,0.3,21,1,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
5053,U-Shape,South,0.38,12,78.37,Steel,0.26,19,0,0,Package AC,Heat Pump,0,2,"Microwave, Washer"
5054,L-Shape,South,0.54,15,238.81,Steel,0.31,22,0,1,VRF,Heat Pump,0,0,"Microwave, Washer"
5055,Rectangular,East,0.43,10,297.66,Wood,0.21,20,1,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
5056,Rectangular,South,0.52,15,70.01,Wood,0.37,20,1,1,Split AC,Gas Heating,1,2,"Microwave, Washer"
5057,Rectangular,East,0.51,15,275.17,Concrete,0.36,19,1,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
5058,Rectangular,North,0.42,12,207.96,Steel,0.24,22,0,1,Split AC,Gas Heating,0,1,"Microwave, Washer"
5059,L-Shape,South,0.6,15,86.48,Steel,0.24,21,1,1,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
5060,Rectangular,South,0.47,10,116.66,Concrete,0.32,20,1,0,Package AC,Heat Pump,0,2,"Microwave, Washer"
5061,U-Shape,South,0.51,15,163.46,Steel,0.4,22,0,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
5062,L-Shape,East,0.37,10,121.78,Concrete,0.23,20,0,0,Split AC,Heat Pump,1,2,"Microwave, Washer"
5063,Rectangular,East,0.41,10,253.12,Wood,0.3,20,1,0,Package AC,Gas Heating,0,0,"TV, Fridge"
5064,L-Shape,East,0.36,12,60.13,Steel,0.25,22,0,0,Split AC,Heat Pump,0,1,"Microwave, Washer"
5065,Rectangular,East,0.45,15,163.8,Steel,0.25,20,0,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
5066,Rectangular,North,0.3,18,238.28,Wood,0.27,19,0,0,VRF,Gas Heating,1,1,"TV, Fridge"
5067,Rectangular,East,0.39,10,50.71,Wood,0.25,22,1,0,Split AC,Gas Heating,1,2,"Microwave, Washer"
5068,L-Shape,East,0.57,10,104.17,Steel,0.34,20,1,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
5069,L-Shape,North,0.57,15,122.9,Steel,0.21,20,1,0,Split AC,Heat Pump,0,0,"TV, Fridge"
5070,L-Shape,North,0.4,18,348.35,Steel,0.24,21,1,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
5071,Rectangular,South,0.38,18,236.44,Steel,0.29,22,1,1,Package AC,Gas Heating,1,2,"TV, Fridge"
5072,Rectangular,South,0.5,15,258.27,Concrete,0.36,21,1,1,Split AC,Heat Pump,1,2,"TV, Fridge"
5073,U-Shape,South,0.3,12,218.33,Steel,0.3,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
5074,Rectangular,East,0.54,18,208.94,Steel,0.34,19,1,1,VRF,Heat Pump,0,2,"TV, Fridge"
5075,U-Shape,East,0.59,10,88.43,Steel,0.23,20,1,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
5076,Rectangular,South,0.57,18,196.97,Steel,0.33,21,1,1,Split AC,Gas Heating,1,0,"TV, Fridge"
5077,L-Shape,South,0.31,10,264.95,Concrete,0.29,19,1,1,Package AC,Gas Heating,1,1,"TV, Fridge"
5078,L-Shape,North,0.49,12,102.53,Concrete,0.25,19,0,0,Split AC,Gas Heating,1,1,"Microwave, Washer"
5079,Rectangular,South,0.54,12,81.87,Concrete,0.4,22,0,1,VRF,Heat Pump,1,0,"Microwave, Washer"
5080,Rectangular,North,0.46,12,138.72,Wood,0.32,22,1,0,Package AC,Gas Heating,0,1,"Microwave, Washer"
5081,U-Shape,North,0.51,10,96.38,Steel,0.22,22,0,0,Package AC,Heat Pump,1,1,"TV, Fridge"
5082,Rectangular,East,0.52,12,66.82,Wood,0.39,19,0,0,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
5083,Rectangular,West,0.36,18,50.71,Wood,0.24,20,0,0,VRF,Gas Heating,0,1,"Microwave, Washer"
5084,Rectangular,South,0.55,18,264.48,Wood,0.33,19,1,0,Package AC,Heat Pump,0,1,"TV, Fridge"
5085,Rectangular,East,0.54,10,333.06,Steel,0.36,20,0,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
5086,L-Shape,North,0.59,10,221.75,Wood,0.36,21,0,1,Split AC,Gas Heating,1,2,"Microwave, Washer"
5087,L-Shape,North,0.38,12,112.95,Concrete,0.38,19,0,0,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
5088,Rectangular,West,0.54,15,222.93,Concrete,0.32,21,0,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
5089,Rectangular,South,0.52,15,230.04,Steel,0.36,19,0,0,Package AC,Gas Heating,0,0,"Oven, Dishwasher"
5090,L-Shape,South,0.45,12,128.18,Wood,0.31,21,0,0,Package AC,Heat Pump,1,0,"Microwave, Washer"
5091,Rectangular,North,0.32,18,67.34,Steel,0.3,21,1,0,Split AC,Gas Heating,1,2,"Microwave, Washer"
5092,L-Shape,South,0.53,12,100.86,Concrete,0.31,22,0,0,Package AC,Heat Pump,1,0,"Microwave, Washer"
5093,U-Shape,North,0.54,12,111.5,Steel,0.38,20,1,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
5094,Rectangular,East,0.37,15,55.79,Steel,0.29,22,0,0,VRF,Heat Pump,0,2,"Microwave, Washer"
5095,U-Shape,South,0.55,15,262.18,Steel,0.37,19,0,1,VRF,Heat Pump,1,2,"Oven, Dishwasher"
5096,U-Shape,North,0.48,15,163.83,Steel,0.26,22,0,0,VRF,Heat Pump,0,2,"Oven, Dishwasher"
5097,U-Shape,East,0.35,10,348.6,Wood,0.36,22,1,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
5098,L-Shape,South,0.31,18,235.73,Concrete,0.4,19,0,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
5099,L-Shape,West,0.44,15,139.34,Wood,0.37,21,0,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
5100,U-Shape,North,0.47,12,150.46,Steel,0.35,19,0,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
5101,L-Shape,East,0.47,10,312.28,Wood,0.25,21,1,0,Split AC,Gas Heating,1,2,"Oven, Dishwasher"
5102,Rectangular,East,0.59,15,229.2,Wood,0.22,19,1,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
5103,Rectangular,East,0.5,15,76.37,Steel,0.32,19,1,1,Split AC,Gas Heating,1,2,"Oven, Dishwasher"
5104,U-Shape,East,0.38,15,163.19,Steel,0.29,22,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
5105,L-Shape,North,0.53,15,317.9,Steel,0.4,20,0,0,VRF,Heat Pump,1,0,"Microwave, Washer"
5106,Rectangular,South,0.53,10,174.76,Concrete,0.23,22,1,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
5107,Rectangular,East,0.45,10,83.92,Concrete,0.33,22,0,1,Split AC,Gas Heating,1,1,"TV, Fridge"
5108,L-Shape,East,0.6,18,345.91,Wood,0.24,22,0,1,Package AC,Gas Heating,1,0,"Microwave, Washer"
5109,L-Shape,East,0.46,15,181.92,Steel,0.33,20,0,1,Split AC,Heat Pump,1,0,"Microwave, Washer"
5110,L-Shape,East,0.45,15,145.37,Concrete,0.31,22,1,1,Package AC,Gas Heating,1,0,"TV, Fridge"
5111,Rectangular,South,0.47,15,320.83,Concrete,0.24,19,1,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
5112,U-Shape,West,0.3,10,203.53,Concrete,0.39,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
5113,L-Shape,North,0.55,15,289.38,Wood,0.3,19,0,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
5114,Rectangular,East,0.3,15,60.25,Steel,0.26,21,1,0,Package AC,Gas Heating,0,2,"Oven, Dishwasher"
5115,L-Shape,West,0.38,12,85.47,Steel,0.39,19,0,0,Package AC,Heat Pump,1,2,"TV, Fridge"
5116,Rectangular,West,0.51,10,340.29,Wood,0.4,22,0,0,VRF,Heat Pump,0,1,"TV, Fridge"
5117,L-Shape,East,0.4,12,50.71,Steel,0.3,20,1,1,Package AC,Gas Heating,1,0,"TV, Fridge"
5118,Rectangular,East,0.53,10,282.62,Wood,0.37,22,1,1,Package AC,Gas Heating,0,0,"Oven, Dishwasher"
5119,L-Shape,South,0.53,12,330.23,Steel,0.21,20,0,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
5120,L-Shape,South,0.33,10,116.95,Wood,0.3,20,1,0,VRF,Heat Pump,0,0,"Microwave, Washer"
5121,L-Shape,East,0.56,15,336.89,Concrete,0.23,20,0,1,Split AC,Gas Heating,1,0,"TV, Fridge"
5122,Rectangular,South,0.46,10,143.37,Concrete,0.37,21,1,1,Split AC,Gas Heating,1,0,"Oven, Dishwasher"
5123,U-Shape,North,0.45,12,57.2,Steel,0.22,21,0,0,Split AC,Heat Pump,1,2,"TV, Fridge"
5124,L-Shape,North,0.31,12,50.71,Steel,0.23,21,0,0,Split AC,Gas Heating,1,1,"Microwave, Washer"
5125,L-Shape,East,0.3,12,50.71,Steel,0.22,22,1,0,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
5126,Rectangular,East,0.34,15,132.0,Wood,0.34,19,0,1,Package AC,Heat Pump,0,0,"Microwave, Washer"
5127,Rectangular,South,0.48,12,50.71,Steel,0.25,22,1,1,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
5128,Rectangular,East,0.53,15,148.96,Wood,0.22,22,1,1,Package AC,Heat Pump,0,2,"Microwave, Washer"
5129,U-Shape,East,0.32,15,102.91,Steel,0.22,19,0,0,Split AC,Heat Pump,1,2,"Microwave, Washer"
5130,Rectangular,East,0.42,15,61.45,Steel,0.32,20,1,1,Split AC,Heat Pump,1,0,"TV, Fridge"
5131,U-Shape,South,0.45,10,134.02,Wood,0.38,22,0,1,Split AC,Gas Heating,1,2,"TV, Fridge"
5132,Rectangular,North,0.4,12,50.71,Wood,0.26,22,0,0,Package AC,Gas Heating,0,1,"Microwave, Washer"
5133,Rectangular,North,0.33,10,170.14,Steel,0.22,22,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
5134,L-Shape,South,0.38,18,101.5,Steel,0.21,19,0,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
5135,L-Shape,East,0.35,12,264.04,Wood,0.26,22,1,0,VRF,Gas Heating,0,1,"Oven, Dishwasher"
5136,L-Shape,North,0.41,12,138.92,Steel,0.37,20,0,0,Split AC,Gas Heating,1,1,"Oven, Dishwasher"
5137,L-Shape,South,0.37,10,276.9,Steel,0.2,19,1,1,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
5138,Rectangular,East,0.47,18,249.19,Concrete,0.23,20,1,0,Split AC,Gas Heating,0,2,"Oven, Dishwasher"
5139,L-Shape,West,0.43,10,160.27,Steel,0.26,22,1,0,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
5140,U-Shape,South,0.3,15,266.86,Steel,0.24,19,0,1,VRF,Heat Pump,0,2,"Oven, Dishwasher"
